f1(x),f2(x)
-129.92358076103767,-100.21189178861795
-129.90000270348048,-100.49994989717783
-129.90000391125835,-100.49997664244609
-129.9000027941242,-100.49998591875625
-129.90000282871824,-100.49997604651675
-129.90000173683973,-100.4999822421226
-129.90000059321176,-100.49999508464968
-129.900001054465,-100.49999341526578
-129.90000089542784,-100.49999124665818
-129.90000018202952,-100.49999900448545
-129.90000025141185,-100.49999818130883
-129.90000063152922,-100.4999952694331
-129.9000001642396,-100.49999782291728
-129.90000036706425,-100.4999967651107
-129.9000000233591,-100.49999875763353
-129.89999993713795,-100.49999937431069
-129.89999390641066,-100.50003031788769
-100.0200086901325,-249.8999507805903
-100.01999986791893,-249.90000033906298
-100.02000075091449,-249.89999461307224
-100.01999999222792,-249.899999960206
-100.0199998218341,-249.89999939249356
-100.02000001932376,-249.8999974832647
-100.01999990631104,-249.89999972354076
-100.01999988847646,-249.90000043330699
-100.01999957978808,-249.90000161076955
-100.01999980627443,-249.90000001857297
-100.01999946675035,-249.90000200445132
-100.0199995780487,-249.90000157229755
-100.01999989825478,-249.900000212834
-100.01999960250788,-249.9000009399183
-100.01999968827387,-249.90000045902835
-100.01999921182998,-249.90000099821845
-100.01999989241769,-249.90000026274046
-100.019999668167,-249.90000057903728
-100.01999974230249,-249.9000000654907
-100.01999898674268,-249.9000035673247
-100.01999806485557,-249.90000832190356
-100.01999914407303,-249.9000016368651
-100.01999903492988,-249.90000321741775
-100.01999978503979,-249.89999982419027
-100.01999973745424,-249.90000042636862
-100.01999980459175,-249.90000034687336
-100.01999980471152,-249.89999990168718
-100.0199996061185,-249.9000002559736
-100.01999970055974,-249.90000137410837
-100.01999922783818,-249.90000276008243
-100.01999928347604,-249.90000052729448
-100.01999927306888,-249.8999998861855
-100.01999792554149,-249.90000492996495
-100.01999936112911,-249.90000083917832
-100.01999944256961,-249.90000232011712
-100.01999625707379,-249.90001835622823
-100.01999966013462,-249.9000014363324
-100.01999919017669,-249.90000317257488
-100.0199993674537,-249.90000119025947
-100.01999926702352,-249.90000217298726
-100.01999931469989,-249.90000249404306
-100.0199979562577,-249.9000087944393
-100.01999901254301,-249.9000016445675
-100.01999900105709,-249.9000007934026
-100.01999965399308,-249.9000006029142
-100.01999940593409,-249.90000244171765
-100.01999901438124,-249.90000031171675
-100.0199989312123,-249.90000449617673
-100.01999986485939,-249.900000423788
-100.01999949758482,-249.900001100525
-100.01999900645234,-249.9000030022385
-100.01999927536792,-249.9000023401278
-100.01999930999456,-249.9000009762071
-100.0199983243292,-249.90000532355037
-100.01999808649214,-249.900006027947
-100.01999868625104,-249.90000242292834
-100.01999910633731,-249.90000066027775
-100.0199984928554,-249.9000072995817
-100.01999170720889,-249.9000332553074
-100.01999861795764,-249.90000615057093
-100.01999273915995,-249.900021432412
-100.01999708058585,-249.90000732918116
-100.01999974062977,-249.90000032054505
-100.01999770030791,-249.90000389370965
-100.01999658722097,-249.90000746572048
-100.01999680292714,-249.90000076327888
-100.01999823176978,-249.9000047443027
-100.01999849378488,-249.90000267537107
-100.01999709185556,-249.90000241117917
-100.01999449189042,-249.90000707080793
-100.01999880158657,-249.900004786314
-100.0199947548178,-249.90001030553444
-100.019997036573,-249.90000432956825
-100.01999649065773,-249.90000894386716
-100.01999624146727,-249.90001405992834
-100.01998805568768,-249.9000490905186
-100.01998570872111,-249.90006853140204
-100.01998711361495,-249.90004904998284
-100.01998297624317,-249.90000285562823
-100.01999506379808,-249.9000112738076
-100.01998081992039,-249.9000245133487
-100.01992036436971,-249.90030612149877
-99.98834290999643,-249.93064119814724
