f1(x),f2(x)
-124.85396027396281,-125.10981478803077
-110.26025297793299,-198.1823541333191
-119.46709455782252,-152.31525601372527
-105.486974297366,-221.64372731202312
-112.05612419409499,-189.09364407828673
-100.18574698869652,-247.77777647986568
-105.99361938370463,-219.29081215503382
-116.99740683044179,-163.83336138588618
-114.4950984759142,-176.16358278624102
-128.09956950182624,-108.45833223342039
-117.48069211178884,-161.12738464063142
-117.39612803615773,-162.8523238883514
-102.6726150053727,-235.74972684795483
-116.44239389832322,-167.42187515392084
-129.53356820264077,-101.77133980368372
-106.56433636988838,-216.62058065169606
-122.75193234717979,-134.63256322359916
-109.31758226924123,-203.392249457584
-127.64312770258367,-111.31503667090753
-124.71441635006555,-126.09203887742416
-110.44935455806657,-197.34882016189064
-103.22148635827898,-232.84784565098846
-129.14818924892,-103.52695632657974
-103.94567202710995,-230.061796013615
-113.62281731802119,-181.20793513449343
-128.5892723819826,-107.05302124614812
-121.2024807549486,-141.74248452715887
-112.61860828441056,-185.46118738360968
-108.17789247732394,-206.57047346331396
-124.22219689318389,-127.35679912318815
-117.4452600214533,-161.2828909230605
-124.21237290823439,-128.5363685256776
-122.55911818082286,-135.84518745474216
-122.28278405852262,-138.20027863735444
-125.53238966202764,-122.0767172921546
-125.85718906927795,-120.23787356004952
-121.86467838959521,-140.59077742133724
-127.32501150208019,-112.64146775241862
-127.12596571768509,-112.88065977013387
-107.28516126808715,-213.49566208348136
-115.43073380799939,-170.81848271827204
-119.21028268397306,-152.50452867455044
-118.53294091852283,-156.50532226127362
-117.88373676998856,-159.99690643759527
-120.71716371851304,-145.81773742952427
-117.99974010793815,-159.12095208225585
-120.45496578234945,-146.60858591502932
-111.4977586464113,-192.05275422132883
-121.19804028216953,-143.00866022469964
-118.37235014574796,-158.13469229193737
-127.81229132546045,-110.73195614931252
-127.44219165312305,-112.31050945581737
-116.75439438417482,-166.18978982161718
-99.76926305345107,-248.33551091027152
-126.90223254857091,-114.88167057279885
-119.88076509975397,-150.29435379394164
-127.08185270706934,-114.1045209074401
-101.83507631882047,-237.90239462593865
-104.77116773903677,-225.4106061220777
