f1(x),f2(x)
-129.99999989988748,-100.0000002089731
-128.54368925885709,-107.28155364889537
-127.1962615884112,-114.01869186518245
-125.94594587057304,-120.27027036886847
-124.78260861920079,-126.08695639273218
-123.69747893677933,-131.51260516803498
-122.68292674920554,-136.58536622914707
-121.73228340252763,-141.33858298157327
-120.83969459082772,-145.80152696418614
-119.9999999246696,-150.00000022853868
-119.2086330376371,-153.95683465367998
-118.46153839051044,-157.69230785124793
-117.75510196612117,-161.2244901183499
-117.08609262889898,-164.56953654460946
-116.4516128320229,-167.74193548236306
-115.8490565610718,-170.754717030108
-115.27607356526354,-173.61963212771744
-114.73053887209545,-176.34730558456906
-114.2105261732643,-178.9473681984519
-113.71428565537073,-181.42857157306574
-113.24022341155637,-183.79888215263261
-112.78688515203663,-186.06557390722998
-112.35294111671487,-188.23529424835627
-111.93717273560486,-190.31413626646832
-111.53846143664603,-192.3076923061273
-111.15577883506018,-194.22110573129703
-110.788177248294,-196.05911368843996
-110.43478251302942,-197.82608708041684
-110.09478667396812,-199.52606619816953
-109.76744171069518,-201.16279053191056
-109.45205475536638,-202.73972608120752
-109.14798181920222,-204.26008966020854
-108.85462540214583,-205.72687247450992
-108.57142853101973,-207.14285723335152
-108.29787235629693,-208.51063786640628
-108.03347265100876,-209.8326362615071
-107.77777765715155,-211.1111113553307
-107.53036428109259,-212.3481784666969
-107.29083642274571,-213.54581766080278
-107.05882348669535,-214.7058824842831
-106.83397660966821,-215.8301164387858
-106.61596957646238,-216.92015208935229
-106.40449433069806,-217.97752821675851
-106.19926157340815,-219.00368965051635
-105.99999989680501,-220.00000029589322
-105.80645153598788,-220.96774202720715
-105.61837444086379,-221.90812740254856
-105.43553976892358,-222.8222993174652
-105.25773189521615,-223.7113403957948
-105.08474567528444,-224.57627133899442
-104.9163878164284,-225.41806014529152
-104.752474865111,-226.2376240079906
-104.59283339487844,-227.0358305303148
-104.43729890590393,-227.8135047175677
-104.28571421352368,-228.57142891038848
-104.13793090344278,-229.3103448311359
-103.99380794175654,-230.03095970067494
-103.8532109150652,-230.73394485732317
-103.71601195125339,-231.41993955724516
-103.58208952441527,-232.08955224381157
-103.45132714675418,-232.74336342933012
-103.32361499508727,-233.38192439276753
-103.19884719856503,-234.00576374162262
-103.0769227835169,-234.61538545176833
-102.95774629821187,-235.2112683415152
-102.84122555828401,-235.79387217877377
-102.72727255849894,-236.36363671003494
-102.6158036832,-236.92098121551675
-102.50673827350525,-237.46630860690107
-102.39999982760168,-238.00000033403722
-102.29551441262207,-238.5224274619537
-102.19321144383626,-239.03394267567478
-102.09302308876569,-239.53488402912382
-101.99488481556281,-240.0255759158486
-101.8987341276876,-240.50632909254676
-101.80451116225083,-240.97744390552754
-101.71215860284876,-241.43920664612943
-101.62162112971028,-241.89189260108543
-101.53284627246153,-242.33576623992047
-101.44578265454876,-242.77108442480963
-101.36038123400263,-243.19809326536043
-101.27659541885693,-243.61702209228943
-101.19437926579408,-244.0281033197266
-101.11368895919979,-244.43155516011888
-101.03448265870657,-244.82758623784463
-100.95671940112027,-245.2164017492039
-100.8803607501074,-245.59819535566592
-100.8053690779427,-245.97315439933166
-100.73170716299165,-246.3414638709961
-100.65934003003926,-246.70329960812145
-100.58823508886348,-247.0588243582729
-100.51835843651769,-247.40820762186868
-100.44967856738813,-247.75160646188314
-100.38216542266804,-248.08917274303334
-100.31578929344614,-248.4210527358273
-100.25052179871788,-248.74739047696113
-100.18633534551972,-249.06832310375523
-100.12320306826054,-249.3839837691993
-100.06109974199725,-249.69450117386046
-100.0000000018857,-249.99999996860868
