f1(x),f2(x)
-100.00000001831671,-249.99999990792526
-99.99999997773584,-249.99999993794478
-99.9999999885644,-249.99999994056773
-100.00000000056595,-249.99999997320361
-99.99999999821179,-249.99999988468602
-99.99999998165374,-249.99999994488377
-100.00000000861937,-249.99999995512354
-100.00000000170179,-249.99999998497998
-100.00000000369833,-249.99999996564136
-100.00000000230457,-249.99999996802586
-99.9999999953724,-249.99999998752747
-99.99999998355368,-249.99999995812743
-99.99999999784768,-249.99999997288853
-99.9999999903357,-249.99999997534206
-99.99999999745519,-249.9999999390057
-100.00000000994854,-249.99999993871538
-99.99999993877856,-249.99999983182124
-99.99999999836007,-249.99999996291004
-100.00000001026187,-249.999999938244
-100.00000003479207,-249.9999997833816
-99.99999996263286,-249.99999985640764
-99.99999998314709,-249.99999993310928
-100.00000000508946,-249.99999989469515
-100.0000000150622,-249.99999988813366
-99.99999999937587,-249.9999999765729
-100.00000000457705,-249.99999997093616
-100.00000000074297,-249.99999999263272
-100.00000000182844,-249.99999998846002
-99.99999998598105,-249.9999999597235
-99.99999995190807,-249.99999986747395
-99.99999992961237,-249.99999982402485
-99.99999995551391,-249.99999987483108
-99.99999999865679,-249.999999972537
-100.00000000809986,-249.9999999547555
-100.00000000822894,-249.9999999231353
-99.99999996332238,-249.99999990025458
-100.0000000060321,-249.9999999080733
-99.99999999607616,-249.9999999840201
-99.99999999979006,-249.99999993853544
-99.999999995777,-249.99999986847473
-99.99999997692503,-249.99999980339072
-100.0000000028311,-249.99999996787628
-100.00000001006289,-249.99999994455823
-99.99999996811734,-249.99999979870253
-99.99999999777606,-249.99999996773028
-100.00000000685303,-249.9999998480862
-99.99999995946237,-249.99999988945459
-99.99999998006163,-249.9999999357057
-99.99999990367012,-249.9999996972869
-99.99999999602403,-249.99999996261496
-99.99999995222258,-249.99999974779422
-100.00000000141256,-249.99999999187486
-99.9999999833315,-249.99999991111724
-100.0000000691995,-249.99999964402787
-99.99999997299699,-249.99999983767017
-100.00000001461378,-249.9999998607601
-100.00000001277888,-249.99999991357112
-100.0000000207348,-249.99999986243026
-100.00000000249854,-249.99999996795898
-100.00000000110745,-249.99999994650454
-99.99999995164892,-249.99999978817877
-99.99999997686534,-249.99999989088064
-100.00000001346052,-249.9999998801949
-100.00000000155718,-249.99999993270274
-99.99999998178669,-249.9999997821798
-99.99999999385035,-249.9999999282871
-99.99999999172644,-249.99999993774054
-99.99999996582785,-249.999999862117
-99.99999998749843,-249.99999992243357
-100.00000001362089,-249.9999998770749
-100.00000000158217,-249.99999995145535
-100.00000016651296,-249.99999900333668
-100.00000010687302,-249.99999936043653
-100.0000000050523,-249.9999999491373
-100.00000002514616,-249.99999969463397
-100.00000008909794,-249.99999937788849
-100.00000000361014,-249.9999997965493
-100.0000000405813,-249.99999962352834
-100.00000003307296,-249.99999956169958
-100.00000018105084,-249.99999888985158
-99.99999998914696,-249.99999996531338
-99.99999999369804,-249.9999997088599
-100.00000794294897,-249.99995999227545
-129.99999695353466,-100.00001517458216
-129.99999980753245,-100.00000070555494
-129.99999962586165,-100.00000163658204
-129.9999998283503,-100.00000053379671
-129.99999986556216,-100.00000062649232
-129.999999915832,-99.9999999754403
-129.99999990302155,-100.00000011056363
-129.99999992167608,-99.99999983923563
-129.99999992238008,-100.00000030500978
-129.99999996361365,-99.99999993269543
-129.99999993607238,-99.99999963923894
-129.99999996650135,-100.00000008460981
-129.99999995016842,-99.99999974395423
-129.99999990310175,-100.00000004668432
-129.99999987934547,-99.99999909048302
-129.99999996480912,-100.00000015932955
-129.9999998629514,-99.9999998799514
